ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
S             	      8064	CARMIGNAC GESTION LUXEMBOURG S.A. SUCURSAL EN ESPAÑA                                      	SUC           
S             	      8066	VONTOBEL ASSET MANAGEMENT S.A., LONDON BRANCH                                             	SUC           
S             	      8067	VONTOBEL ASSET MANAGEMENT S.A., MILAN BRANCH                                              	SUC           
S             	      8068	VONTOBEL ASSET MANAGEMENT S.A., MADRID BRANCH                                             	SUC           
S             	      8071	LEMANIK ASSET MANAGEMENT S.A., DUBLIN BRANCH                                              	SUC           
S             	      8073	J. SAFRA SARASIN FUND MANAGEMENT (LUXEMBOURG) S.A. - AUSTRIA BRANCH                       	SUC           
S             	      8075	PROLOGIS MANAGEMENT II S.A R.L., SUCCURSALE EN ITALIE                                     	SUC           
S             	      8076	CANDRIAM - MENA BRANCH                                                                    	SUC           
S             	      8077	UBP ASSET MANAGEMENT (EUROPE) S.A. BRUSSELS BRANCH                                        	SUC           
S             	      8078	NORDEA INVESTMENT FUNDS S.A. - SUCCURSALE FRANCAISE                                       	SUC           
S             	      8079	FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A R.L., ITALIAN BRANCH                        	SUC           
S             	      8081	EURIZON CAPITAL S.A. - FRANKFURT BRANCH                                                   	SUC           
S             	      8084	FUNDROCK MANAGEMENT COMPANY S.A. (IRELAND BRANCH)                                         	SUC           
S             	      8087	EURIZON CAPITAL S.A. - PARIS BRANCH                                                       	SUC           
S             	      8096	MFS INVESTMENT MANAGEMENT COMPANY (LUX) SARL ITALIAN                                      	SUC           
S             	      8099	ADEPA ASSET MANAGEMENT S.A., ITALY BRANCH                                                 	SUC           
S             	      8105	SCHRODER INVESTMENT MANAGEMENT (LUXEMBOURG) S.A.                                          	SUC           
S             	      8106	FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A R.L., GERMAN BRANCH                         	SUC           
